,user_id,order_date,order_id,sku_id,warehouse_name,quantity,placed_gmv
0,0868733,2022-09-16,262052,2567941,USA,1.0,331.6
1,0868733,2022-09-16,262052,434572f,USA,1.0,416.52
2,0868733,2022-09-16,262052,8ae8fa4,USA,2.0,45.0
3,0868733,2022-09-16,262052,c9932dc,USA,3.0,67.5
4,0868733,2022-09-16,262052,35c7c3b,USA,1.0,340.71
5,0868733,2022-09-16,262052,4d0b250,USA,1.0,497.4
6,0868733,2022-09-16,262052,3dda988,USA,1.0,210.6
7,b038086,2022-09-16,261983,3467665,USA,1.0,4675.32
8,76fe8eb,2022-09-16,262512,590979d,USA,1.0,4188.96
9,76fe8eb,2022-09-16,262512,e1c4a27,USA,1.0,1729.44
10,45adbb3,2022-09-16,262330,38d6029,USA,1.0,1386.72
11,45adbb3,2022-09-16,262330,ab4e967,USA,1.0,386.64
12,45adbb3,2022-09-16,262330,0138653,USA,1.0,470.88
13,45adbb3,2022-09-16,262330,f9d6b06,USA,1.0,449.64
14,45adbb3,2022-09-16,262330,194b57c,USA,1.0,539.0
15,45adbb3,2022-09-16,262330,0990f23,USA,1.0,305.4
16,45adbb3,2022-09-16,262330,6cc361f,USA,1.0,439.2000000000001
17,45adbb3,2022-09-16,262330,5f6b2e4,USA,1.0,438.9
18,45adbb3,2022-09-16,262330,3db36a7,USA,1.0,270.15
19,45adbb3,2022-09-16,262330,a9b1b8e,USA,1.0,462.0
20,45adbb3,2022-09-16,262330,2601a90,USA,1.0,339.75
21,45adbb3,2022-09-16,262330,54f03a7,USA,1.0,543.6
22,45adbb3,2022-09-16,262330,6b064e1,USA,1.0,400.56000000000006
23,45adbb3,2022-09-16,262330,62af492,USA,1.0,301.92
24,d6ba5f5,2022-09-16,262125,cc58106,USA,1.0,436.02
25,d6ba5f5,2022-09-16,262125,aa19865,USA,1.0,343.44
26,d6ba5f5,2022-09-16,262125,56f76e7,USA,1.0,366.12
27,d6ba5f5,2022-09-16,262125,297994c,USA,1.0,323.88
28,d6ba5f5,2022-09-16,262125,aa0c790,USA,1.0,3564.4800000000005
29,d6ba5f5,2022-09-16,262125,53010d8,USA,1.0,395.52
30,d6ba5f5,2022-09-16,262125,6cde1ec,USA,1.0,647.64
31,d6ba5f5,2022-09-16,262125,696d58c,USA,1.0,557.04
32,d6ba5f5,2022-09-16,262125,6b064e1,USA,1.0,400.56000000000006
33,e13706b,2022-09-16,262832,8389e22,USA,1.0,477.51
34,e13706b,2022-09-16,262832,04ca826,USA,1.0,587.7
35,e13706b,2022-09-16,262832,cd11864,USA,2.0,669.48
36,91cd6e8,2022-09-16,262066,d2253c0,USA,1.0,379.65
37,91cd6e8,2022-09-16,262066,6cde1ec,USA,1.0,219.96
38,91cd6e8,2022-09-16,262066,62fa34e,USA,1.0,235.26
39,91cd6e8,2022-09-16,262066,e7ce89c,USA,1.0,297.44
40,ff6f97a,2022-09-16,261968,b51524a,USA,4.0,1160.64
41,ff6f97a,2022-09-16,261968,7d7c734,USA,1.0,178.8
42,ff6f97a,2022-09-16,261968,7d0bc53,USA,1.0,379.44
43,ff6f97a,2022-09-16,261968,edda2d7,USA,1.0,425.16
44,ff6f97a,2022-09-16,261968,ab4e967,USA,1.0,386.64
45,f51d025,2022-09-16,262224,ff2a320,USA,1.0,2900.32
46,f51d025,2022-09-16,262224,f9d6b06,USA,2.0,899.28
47,f51d025,2022-09-16,262224,1ac1b30,USA,1.0,449.76
48,f51d025,2022-09-16,262224,57e9db5,USA,1.0,1717.2
49,f51d025,2022-09-16,262224,af56d0d,USA,2.0,577.4399999999999
50,cbf17bc,2022-09-16,262986,34a8b55,USA,2.0,5589.5
51,cbf17bc,2022-09-16,261893,8a5a118,USA,3.0,1630.6799999999998
52,cbf17bc,2022-09-16,261893,aa0c790,USA,2.0,7128.960000000001
53,cc34a5e,2022-09-16,262996,b51524a,USA,3.0,6825.6
54,09fb74d,2022-09-16,262626,3467665,USA,4.0,1587.48
55,f1ad54d,2022-09-16,262653,6b064e1,USA,1.0,400.56000000000006
56,f1ad54d,2022-09-16,262653,5ff7bf0,USA,1.0,279.62
57,f1ad54d,2022-09-16,262653,be41982,USA,1.0,331.5
